date,closing-amount
9/18/1956,46.79
9/19/1956,46.24
9/20/1956,46.21
9/21/1956,46.58
9/24/1956,46.4
9/25/1956,45.75
9/26/1956,45.82
9/27/1956,45.6
9/28/1956,45.35
10/1/1956,44.7
10/2/1956,45.52
10/3/1956,46.28
10/4/1956,46.29
10/5/1956,46.45
10/8/1956,46.43
10/9/1956,46.2
10/10/1956,46.84
10/11/1956,46.81
10/12/1956,47
10/15/1956,46.86
10/16/1956,46.62
10/17/1956,46.26
10/18/1956,46.34
10/19/1956,46.24
10/22/1956,46.23
10/23/1956,46.12
10/24/1956,45.93
10/25/1956,45.85
10/26/1956,46.27
10/29/1956,46.4
10/30/1956,46.37
10/31/1956,45.58
11/1/1956,46.52
11/2/1956,46.98
11/5/1956,47.6
11/7/1956,47.11
11/8/1956,46.73
11/9/1956,46.34
11/12/1956,46.49
11/13/1956,46.27
11/14/1956,46.01
11/15/1956,45.72
11/16/1956,45.74
11/19/1956,45.29
11/20/1956,44.89
11/21/1956,44.67
11/23/1956,45.14
11/26/1956,44.87
11/27/1956,44.91
11/28/1956,44.43
11/29/1956,44.38
11/30/1956,45.08
12/3/1956,45.98
12/4/1956,45.84
12/5/1956,46.39
12/6/1956,46.81
12/7/1956,47.04
12/10/1956,46.8
12/11/1956,46.48
12/12/1956,46.13
12/13/1956,46.5
12/14/1956,46.54
12/17/1956,46.54
12/18/1956,46.54
12/19/1956,46.43
12/20/1956,46.07
12/21/1956,46.37
12/26/1956,46.39
12/27/1956,46.35
12/28/1956,46.56
12/31/1956,46.67
1/2/1957,46.2
1/3/1957,46.6
1/4/1957,46.66
1/7/1957,46.42
1/8/1957,46.25
1/9/1957,46.16
1/10/1957,46.27
1/11/1957,46.18
1/14/1957,45.86
1/15/1957,45.18
1/16/1957,45.23
1/17/1957,45.22
1/18/1957,44.64
1/21/1957,44.4
1/22/1957,44.53
1/23/1957,44.87
1/24/1957,45.03
1/25/1957,44.82
1/28/1957,44.49
1/29/1957,44.71
1/30/1957,44.91
1/31/1957,44.72
2/1/1957,44.62
2/4/1957,44.53
2/5/1957,43.89
2/6/1957,43.82
2/7/1957,43.62
2/8/1957,43.32
2/11/1957,42.57
2/12/1957,42.39
2/13/1957,43.04
2/14/1957,42.99
2/15/1957,43.51
2/18/1957,43.46
